23858, 20211224.6, 2021-12-24T15:24:35.105368Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2188, comprehensive Python38 | 5289, mysql | 4308, test_cli | 451
23854, 20211224.5, 2021-12-24T05:33:56.0601462Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23851, 20211224.4, 2021-12-24T05:30:11.7070164Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23848, 20211224.3, 2021-12-24T01:05:33.5385012Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2535, comprehensive Python38 | 5774, mysql | 4768, test_cli | 0
23846, 20211224.2, 2021-12-24T00:44:55.043728Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23844, 20211224.1, 2021-12-24T00:27:05.7175032Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23840, 20211223.36, 2021-12-23T23:47:07.4649772Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23836, 20211223.35, 2021-12-23T23:46:53.4338747Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23832, 20211223.34, 2021-12-23T23:36:03.5036528Z, dependency_graph, canceled, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23828, 20211223.33, 2021-12-23T22:58:21.2806032Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2528, comprehensive Python38 | 5767, mysql | 4761, test_cli | 444
23820, 20211223.31, 2021-12-23T22:05:36.6839071Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23816, 20211223.30, 2021-12-23T21:44:00.9538071Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23812, 20211223.29, 2021-12-23T21:42:45.8862478Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23808, 20211223.28, 2021-12-23T20:54:49.4173568Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23804, 20211223.27, 2021-12-23T20:54:36.5321715Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23802, 20211223.26, 2021-12-23T20:53:24.9668395Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23794, 20211223.24, 2021-12-23T20:49:15.9815497Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 444
23792, 20211223.23, 2021-12-23T19:28:13.6358455Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23788, 20211223.22, 2021-12-23T19:11:06.8017448Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23786, 20211223.21, 2021-12-23T18:32:46.2301153Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23782, 20211223.20, 2021-12-23T18:21:43.6328739Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23778, 20211223.19, 2021-12-23T18:09:35.2498343Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23775, 20211223.18, 2021-12-23T17:55:37.1661728Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23772, 20211223.17, 2021-12-23T17:52:39.5525376Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23764, 20211223.15, 2021-12-23T17:36:54.5869863Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23756, 20211223.13, 2021-12-23T17:23:04.9089395Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23752, 20211223.12, 2021-12-23T09:41:22.5897205Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 444
23748, 20211223.11, 2021-12-23T09:41:08.7753881Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 444
23746, 20211223.10, 2021-12-23T08:47:44.87225Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 0
23742, 20211223.9, 2021-12-23T08:47:33.0857076Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 0
23736, 20211223.7, 2021-12-23T08:43:08.3217261Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2286, comprehensive Python38 | 5493, mysql | 4493, test_cli | 0
23734, 20211223.6, 2021-12-23T06:32:19.3848506Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2285, comprehensive Python38 | 5492, mysql | 4492, test_cli | 444
23729, 20211223.5, 2021-12-23T02:39:44.553085Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 0
23725, 20211223.4, 2021-12-23T02:37:31.9435647Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23719, 20211223.2, 2021-12-23T01:34:51.3615778Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23715, 20211223.1, 2021-12-23T00:00:28.4117936Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23711, 20211222.11, 2021-12-22T23:27:01.8107326Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23707, 20211222.10, 2021-12-22T23:24:10.068625Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 1797, comprehensive Python38 | 3596, mysql | 3030, test_cli | 0
23704, 20211222.9, 2021-12-22T23:24:00.8935007Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 1797, comprehensive Python38 | 3596, mysql | 3030, test_cli | 0
23699, 20211222.8, 2021-12-22T22:19:22.6714219Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23695, 20211222.7, 2021-12-22T22:18:28.2881741Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
